pr_number,url,title,state,merged,author,created_at,merged_at,labels,files_changed,additions,deletions,changed_files_sample,score,needs_docs,confidence,signals
2500,https://github.com/NVIDIA/infra-controller/pull/2500,feat(librms): `v0.9.0-rc1` for hardware type-specific support,closed,True,jayzhudev,2026-06-12T06:39:12Z,2026-06-16T07:04:16Z,,46,2541,350,Cargo.lock|Cargo.toml|book/src/configuration/configurability.md|crates/admin-cli/src/rack/profile/show/cmd.rs|crates/api-core/src/cfg/README.md|crates/api-core/src/cfg/file.rs|crates/api-core/src/cfg/test_data/full_config.toml|crates/api-core/src/cfg/test_data/full_config_post_migration.toml,13,yes,high,high-signal-path|ops/config-path|proto-change|config-or-schema-file|non-doc-markdown-only-hint|strong-keywords:10|weak-keywords:1|negative-keywords:1
2666,https://github.com/NVIDIA/infra-controller/pull/2666,feat(zero-dpu): Allow flat VPC's to not belong to a network segment,closed,True,kensimon,2026-06-16T20:57:36Z,2026-06-24T00:37:30Z,,47,1480,380,crates/admin-cli/src/instance/allocate/args.rs|crates/admin-cli/src/instance/allocate/cmd.rs|crates/admin-cli/src/instance/show/cmd.rs|crates/admin-cli/src/machine/show/cmd.rs|crates/admin-cli/src/rpc.rs|crates/agent/src/tests/full.rs|crates/api-core/src/cfg/file.rs|crates/api-core/src/ethernet_virtualization.rs,13,yes,high,high-signal-path|proto-change|config-or-schema-file|strong-keywords:6|weak-keywords:3|negative-keywords:1
2829,https://github.com/NVIDIA/infra-controller/pull/2829,feat(rest-api): Support for adding Tenant information when reported Issue for Delete Instance,closed,True,hwadekar-nv,2026-06-23T23:37:54Z,2026-06-29T20:28:25Z,,17,14965,10699,crates/admin-cli/src/instance/release/cmd.rs|crates/api-core/src/handlers/instance.rs|crates/api-core/src/tests/common/api_fixtures/instance.rs|crates/api-core/src/tests/instance.rs|crates/api-core/src/tests/instance_config_update.rs|crates/api-core/src/tests/network_security_group.rs|crates/rpc/proto/forge.proto|rest-api/api/pkg/api/handler/instance.go,13,yes,high,high-signal-path|ops/config-path|proto-change|strong-keywords:6|weak-keywords:1|negative-keywords:1
2844,https://github.com/NVIDIA/infra-controller/pull/2844,feat: Add operation run planning and create RPC,closed,True,jw-nvidia,2026-06-24T15:29:20Z,2026-06-24T21:58:21Z,,34,8142,2964,rest-api/flow/docs/operation-run-guide.md|rest-api/flow/internal/converter/dao/converter.go|rest-api/flow/internal/converter/protobuf/operationrun_converter.go|rest-api/flow/internal/converter/protobuf/operationrun_converter_test.go|rest-api/flow/internal/db/migrations/20260624120000_rename_operation_run_target_components_by_type.down.sql|rest-api/flow/internal/db/migrations/20260624120000_rename_operation_run_target_components_by_type.up.sql|rest-api/flow/internal/db/model/operation_run.go|rest-api/flow/internal/db/model/task_schedule_scope.go,13,yes,high,high-signal-path|ops/config-path|proto-change|config-or-schema-file|non-doc-markdown-only-hint|strong-keywords:8|weak-keywords:1|negative-keywords:1
2861,https://github.com/NVIDIA/infra-controller/pull/2861,feat(zero-dpu): Pass VPC ID to AllocateInstance from REST API,closed,True,kensimon,2026-06-24T21:08:16Z,2026-06-25T00:38:29Z,,5,4993,4886,rest-api/api/pkg/api/handler/instance.go|rest-api/api/pkg/api/handler/instance_test.go|rest-api/api/pkg/api/handler/instancebatch.go|rest-api/workflow-schema/schema/site-agent/workflows/v1/nico_nico.pb.go|rest-api/workflow-schema/site-agent/workflows/v1/nico_nico.proto,13,yes,high,high-signal-path|ops/config-path|proto-change|strong-keywords:6|weak-keywords:1|negative-keywords:1
2904,https://github.com/NVIDIA/infra-controller/pull/2904,feat: Carbide side changes to support Astra,closed,True,srinivasadmurthy,2026-06-26T00:12:06Z,2026-06-30T04:27:51Z,,33,9838,8225,crates/agent/src/ethernet_virtualization.rs|crates/agent/src/main_loop.rs|crates/agent/src/tests/full.rs|crates/api-core/src/api.rs|crates/api-core/src/handlers/astra.rs|crates/api-core/src/handlers/dpa.rs|crates/api-core/src/handlers/dpu.rs|crates/api-core/src/handlers/instance.rs,13,yes,high,high-signal-path|ops/config-path|proto-change|strong-keywords:7|weak-keywords:1|negative-keywords:1
2991,https://github.com/NVIDIA/infra-controller/pull/2991,feat(credential-rotation): stage site-wide credential rotations,closed,True,spydaNVIDIA,2026-06-29T21:04:58Z,2026-06-30T21:21:57Z,,39,16837,12598,crates/admin-cli/src/credential/common.rs|crates/admin-cli/src/credential/mod.rs|crates/admin-cli/src/credential/rotate/args.rs|crates/admin-cli/src/credential/rotate/cmd.rs|crates/admin-cli/src/credential/rotate/mod.rs|crates/admin-cli/src/credential/rotation_status/args.rs|crates/admin-cli/src/credential/rotation_status/cmd.rs|crates/admin-cli/src/credential/rotation_status/mod.rs,13,yes,high,high-signal-path|ops/config-path|proto-change|strong-keywords:6|weak-keywords:1|negative-keywords:1
3018,https://github.com/NVIDIA/infra-controller/pull/3018,feat(api): add host firmware config delete endpoint,closed,True,rahmonov,2026-06-30T13:18:40Z,2026-06-30T16:05:36Z,,12,4798,4425,crates/api-core/src/api.rs|crates/api-core/src/auth/internal_rbac_rules.rs|crates/api-core/src/handlers/firmware.rs|crates/api-core/src/tests/host_firmware_config.rs|crates/api-db/src/host_firmware_config.rs|crates/rpc/proto/forge.proto|rest-api/flow/internal/nicoapi/gen/nico.pb.go|rest-api/flow/internal/nicoapi/gen/nico_grpc.pb.go,13,yes,high,high-signal-path|ops/config-path|proto-change|strong-keywords:8|weak-keywords:1|negative-keywords:1
1803,https://github.com/NVIDIA/infra-controller/pull/1803,feat: add a bypass-state-controller flag to the component management API,closed,True,spydaNVIDIA,2026-05-19T10:41:22Z,2026-06-03T00:16:13Z,admin tools,11,130,1532,Cargo.lock|crates/admin-cli/src/component_manager/power_control/args.rs|crates/admin-cli/src/component_manager/update_firmware/args.rs|crates/api-core/src/handlers/component_manager.rs|crates/component-manager/src/component_manager.rs|crates/component-manager/src/lib.rs|crates/component-manager/src/state_controller/mod.rs|crates/component-manager/src/state_controller/nv_switch.rs,12,yes,high,high-signal-path|proto-change|strong-keywords:7|weak-keywords:2|negative-keywords:1
1854,https://github.com/NVIDIA/infra-controller/pull/1854,feat(health): add API support for NVL domain health records,closed,True,jayzhudev,2026-05-21T03:34:38Z,2026-06-03T00:45:20Z,,28,1329,35,Cargo.lock|crates/admin-cli/src/cfg/cli_options.rs|crates/admin-cli/src/main.rs|crates/admin-cli/src/nvl_domain/health_report/args.rs|crates/admin-cli/src/nvl_domain/health_report/cmd.rs|crates/admin-cli/src/nvl_domain/health_report/mod.rs|crates/admin-cli/src/nvl_domain/mod.rs|crates/admin-cli/src/nvl_domain/tests.rs,12,yes,high,high-signal-path|proto-change|config-or-schema-file|strong-keywords:8|weak-keywords:1|negative-keywords:1
2043,https://github.com/NVIDIA/infra-controller/pull/2043,feat(api): add admin force-delete for racks,closed,True,vinodchitraliNVIDIA,2026-06-01T17:31:25Z,2026-06-03T23:02:06Z,,9,284,2,crates/admin-cli/src/rack/force_delete/args.rs|crates/admin-cli/src/rack/force_delete/cmd.rs|crates/admin-cli/src/rack/force_delete/mod.rs|crates/admin-cli/src/rack/mod.rs|crates/api-core/src/api.rs|crates/api-core/src/auth/internal_rbac_rules.rs|crates/api-core/src/handlers/rack.rs|crates/api-core/src/tests/rack_find.rs,12,yes,high,high-signal-path|proto-change|strong-keywords:10|weak-keywords:2|negative-keywords:1
2133,https://github.com/NVIDIA/infra-controller/pull/2133,"feat(dns): cache all negative DNS responses, switch to LRU",closed,True,ianderson-nvidia,2026-06-02T21:37:53Z,2026-06-03T00:38:59Z,bug,9,532,245,Cargo.lock|crates/dns/Cargo.toml|crates/dns/src/config.rs|crates/dns/src/lib.rs|crates/dns/src/negative_cache.rs|crates/dns/src/test/carbide-dns.toml|helm/charts/nico-dns/templates/podmonitor.yaml|helm/charts/nico-dns/templates/statefulset.yaml,12,yes,high,high-signal-path|ops/config-path|config-or-schema-file|strong-keywords:8|weak-keywords:1|negative-keywords:1|high-signal-label
2151,https://github.com/NVIDIA/infra-controller/pull/2151,Fixes to facilitate move from dpf to non-dpf and vice versa,closed,True,aadvani-nvidia,2026-06-03T02:16:52Z,2026-06-04T17:06:48Z,,13,69,5,crates/admin-cli/src/dpf/enable/cmd.rs|crates/admin-cli/src/expected_machines/patch/args.rs|crates/admin-cli/src/machine/force_delete/args.rs|crates/admin-cli/src/machine/tests.rs|crates/api-core/src/handlers/dpf.rs|crates/api-core/src/handlers/machine.rs|crates/api-core/src/tests/lldp.rs|crates/api-core/src/tests/machine_admin_force_delete.rs,12,yes,high,high-signal-path|proto-change|strong-keywords:6|weak-keywords:3|negative-keywords:1
2234,https://github.com/NVIDIA/infra-controller/pull/2234,feat(api): Include additional state details in DpuInfo,closed,True,bcavnvidia,2026-06-05T14:42:22Z,2026-06-05T19:33:31Z,,12,378,31,crates/agent/src/tests/full.rs|crates/agent/src/tests/test_network_monitor.rs|crates/api-core/src/handlers/dpu.rs|crates/api-core/src/handlers/machine.rs|crates/api-core/src/tests/dpu_info_list.rs|crates/api-core/src/tests/dpu_machine_update.rs|crates/api-db/src/machine.rs|crates/api-model/src/machine/mod.rs,12,yes,high,high-signal-path|proto-change|strong-keywords:7|weak-keywords:2|negative-keywords:1
2255,https://github.com/NVIDIA/infra-controller/pull/2255,fix: Remove requirement for access token for rms fw update,closed,True,anunna0,2026-06-05T18:09:24Z,2026-06-05T19:07:23Z,,9,194,107,crates/admin-cli/src/component_manager/update_firmware/args.rs|crates/admin-cli/src/rack/maintenance/args.rs|crates/admin-cli/src/rack/maintenance/cmd.rs|crates/api-core/src/handlers/component_manager.rs|crates/api-core/src/handlers/rack.rs|crates/api-core/src/tests/rack_state_controller/handler.rs|crates/component-manager/src/rms.rs|crates/rack/src/firmware_object.rs,12,yes,high,high-signal-path|proto-change|strong-keywords:8|weak-keywords:2|negative-keywords:1
2259,https://github.com/NVIDIA/infra-controller/pull/2259,"chore(rest-api): Snapshot Core proto, update Machine health override/Rack profile ID refs",closed,True,thossain-nv,2026-06-05T19:10:59Z,2026-06-05T21:04:37Z,,39,31327,20072,rest-api/api/pkg/api/handler/instance.go|rest-api/api/pkg/api/handler/instancebatch.go|rest-api/api/pkg/api/handler/machine.go|rest-api/api/pkg/api/handler/machine_test.go|rest-api/api/pkg/api/model/machine.go|rest-api/api/pkg/api/model/machine_test.go|rest-api/db/pkg/db/model/expectedrack.go|rest-api/db/pkg/db/model/expectedrack_test.go,12,yes,high,high-signal-path|ops/config-path|proto-change|strong-keywords:2|weak-keywords:2|negative-keywords:1
2610,https://github.com/NVIDIA/infra-controller/pull/2610,feat: Set NTP servers from site config,closed,True,hanyux-nv,2026-06-15T20:08:28Z,2026-06-16T21:17:37Z,,25,692,33,Cargo.lock|Cargo.toml|crates/agent/src/ethernet_virtualization.rs|crates/agent/src/tests/full.rs|crates/api-core/src/cfg/README.md|crates/api-core/src/cfg/file.rs|crates/api-core/src/cfg/test_data/full_config.toml|crates/api-core/src/dhcp/discover.rs,12,yes,high,high-signal-path|proto-change|config-or-schema-file|non-doc-markdown-only-hint|strong-keywords:9|weak-keywords:3|negative-keywords:1
2613,https://github.com/NVIDIA/infra-controller/pull/2613,refactor(vpc): separate Vpc fields into config/status,closed,True,ianderson-nvidia,2026-06-15T22:32:20Z,2026-06-22T16:44:34Z,,22,449,213,crates/admin-cli/src/vpc/show/cmd.rs|crates/api-core/src/db_init.rs|crates/api-core/src/ethernet_virtualization.rs|crates/api-core/src/handlers/dpu.rs|crates/api-core/src/handlers/network_segment.rs|crates/api-core/src/handlers/vpc.rs|crates/api-core/src/handlers/vpc_peering.rs|crates/api-core/src/handlers/vpc_prefix.rs,12,yes,high,high-signal-path|proto-change|strong-keywords:9|weak-keywords:2|negative-keywords:1
2665,https://github.com/NVIDIA/infra-controller/pull/2665,feat: support storing secrets/credentials in Postgres,closed,True,chet,2026-06-16T20:45:10Z,2026-06-23T02:57:27Z,,43,3449,158,Cargo.lock|crates/admin-cli/cli_domains.yaml|crates/admin-cli/src/cfg/cli_options.rs|crates/admin-cli/src/main.rs|crates/admin-cli/src/secrets/mod.rs|crates/admin-cli/src/secrets/re_wrap/args.rs|crates/admin-cli/src/secrets/re_wrap/cmd.rs|crates/admin-cli/src/secrets/re_wrap/mod.rs,12,yes,high,high-signal-path|proto-change|config-or-schema-file|strong-keywords:11|weak-keywords:1|negative-keywords:1
2751,https://github.com/NVIDIA/infra-controller/pull/2751,change(api): add dual-stack FNN allocation and IPv6 static-assignment support,closed,True,bcavnvidia,2026-06-22T13:44:40Z,2026-06-22T16:33:01Z,,9,844,48,crates/api-core/src/db_init.rs|crates/api-core/src/tests/network_segment.rs|crates/api-core/src/tests/static_address_management.rs|crates/api-core/src/tests/vpc_prefix.rs|crates/api-db/migrations/20260617120000_static_assignments_ipv6_placeholder.sql|crates/api-db/src/machine_interface.rs|crates/api-db/src/machine_interface/ip_allocator.rs|crates/api-db/src/vpc.rs,12,yes,high,high-signal-path|proto-change|config-or-schema-file|strong-keywords:8|weak-keywords:1|negative-keywords:1
2865,https://github.com/NVIDIA/infra-controller/pull/2865,feat(admin-cli): inspect a machine's MachineBootInterface across its lifecycle,closed,True,chet,2026-06-24T22:19:37Z,2026-06-25T14:07:54Z,,14,1126,1,crates/admin-cli/src/machine/boot_interfaces/args.rs|crates/admin-cli/src/machine/boot_interfaces/cmd.rs|crates/admin-cli/src/machine/boot_interfaces/mod.rs|crates/admin-cli/src/machine/mod.rs|crates/admin-cli/src/rpc.rs|crates/api-core/src/api.rs|crates/api-core/src/auth/internal_rbac_rules.rs|crates/api-core/src/handlers/machine_boot_interfaces.rs,12,yes,high,high-signal-path|proto-change|strong-keywords:4|weak-keywords:1
3022,https://github.com/NVIDIA/infra-controller/pull/3022,feat(rest-api): Add Machine power control endpoint for Provider,closed,True,kfelternv,2026-06-30T15:48:25Z,2026-06-30T23:47:33Z,,58,3819,167,rest-api/AGENTS.md|rest-api/api/pkg/api/handler/bmccredential.go|rest-api/api/pkg/api/handler/hostfirmwareconfig.go|rest-api/api/pkg/api/handler/machinepower.go|rest-api/api/pkg/api/handler/machinepower_test.go|rest-api/api/pkg/api/handler/util/common/coreproxy.go|rest-api/api/pkg/api/model/machinepower.go|rest-api/api/pkg/api/routes.go,12,yes,high,high-signal-path|ops/config-path|proto-change|config-or-schema-file|non-doc-markdown-only-hint|strong-keywords:3
2175,https://github.com/NVIDIA/infra-controller/pull/2175,refactor(rms-client)!: migrate to updated RMS proto,closed,True,jayzhudev,2026-06-04T00:05:24Z,2026-06-10T16:38:20Z,,21,1415,1159,Cargo.lock|Cargo.toml|crates/admin-cli/src/component_manager/update_firmware/args.rs|crates/admin-cli/src/rack/maintenance/args.rs|crates/admin-cli/src/rms/args.rs|crates/admin-cli/src/rms/cmds.rs|crates/admin-cli/src/rms/mod.rs|crates/api-core/src/tests/power_shelf_state_controller/maintenance.rs,11,yes,high,high-signal-path|proto-change|config-or-schema-file|strong-keywords:7|weak-keywords:1|negative-keywords:2
2286,https://github.com/NVIDIA/infra-controller/pull/2286,feat: Add Task Rule REST APIs for Flow Operation Rule Management,closed,True,kunzhao-nv,2026-06-07T05:07:33Z,2026-06-10T19:46:27Z,,49,7906,520,rest-api/api/pkg/api/handler/rack.go|rest-api/api/pkg/api/handler/rack_test.go|rest-api/api/pkg/api/handler/taskrule.go|rest-api/api/pkg/api/handler/taskrule_test.go|rest-api/api/pkg/api/handler/tray.go|rest-api/api/pkg/api/handler/util/common/common.go|rest-api/api/pkg/api/handler/util/common/common_test.go|rest-api/api/pkg/api/model/firmware.go,11,yes,high,high-signal-path|ops/config-path|config-or-schema-file|strong-keywords:10|weak-keywords:2|negative-keywords:1
2314,https://github.com/NVIDIA/infra-controller/pull/2314,"feat: make any host interface the primary, not just a DPU",closed,True,chet,2026-06-08T21:54:50Z,2026-06-09T22:42:38Z,,12,768,74,crates/admin-cli/src/managed_host/mod.rs|crates/admin-cli/src/managed_host/set_primary_interface/args.rs|crates/admin-cli/src/managed_host/set_primary_interface/cmd.rs|crates/admin-cli/src/managed_host/set_primary_interface/mod.rs|crates/admin-cli/src/managed_host/tests.rs|crates/api-core/src/api.rs|crates/api-core/src/auth/internal_rbac_rules.rs|crates/api-core/src/handlers/managed_host.rs,11,yes,high,high-signal-path|proto-change|strong-keywords:9|weak-keywords:2|negative-keywords:2
2440,https://github.com/NVIDIA/infra-controller/pull/2440,feat: Mirror Core expected inventory into Flow tables,closed,True,kunzhao-nv,2026-06-11T00:16:37Z,2026-06-11T21:24:55Z,,23,4488,900,rest-api/flow/internal/db/migrations/20260609170000_rack_external_id.down.sql|rest-api/flow/internal/db/migrations/20260609170000_rack_external_id.up.sql|rest-api/flow/internal/db/model/rack.go|rest-api/flow/internal/nicoapi/expecteddetails_test.go|rest-api/flow/internal/nicoapi/grpc.go|rest-api/flow/internal/nicoapi/mock.go|rest-api/flow/internal/nicoapi/mod.go|rest-api/flow/internal/nicoapi/model.go,11,yes,high,high-signal-path|ops/config-path|config-or-schema-file|strong-keywords:8|weak-keywords:2|negative-keywords:1
2447,https://github.com/NVIDIA/infra-controller/pull/2447,fix(api): Add a tenant_state field to VpcPrefix message,closed,True,bcavnvidia,2026-06-11T00:50:08Z,2026-06-11T19:43:58Z,,2,120,29,crates/rpc/proto/forge.proto|crates/rpc/src/model/vpc_prefix.rs,11,yes,high,high-signal-path|proto-change|strong-keywords:8|weak-keywords:1|negative-keywords:1
2461,https://github.com/NVIDIA/infra-controller/pull/2461,Chore: Connect Flow ReadinessGate to Component Status,closed,True,kunzhao-nv,2026-06-11T06:47:02Z,2026-06-11T18:54:08Z,,40,10824,9352,rest-api/flow/cmd/serve.go|rest-api/flow/docs/grpc-api.html|rest-api/flow/docs/grpc-api.md|rest-api/flow/internal/converter/protobuf/converter.go|rest-api/flow/internal/nicoapi/gen/common.pb.go|rest-api/flow/internal/nicoapi/gen/fmds.pb.go|rest-api/flow/internal/nicoapi/gen/fmds_grpc.pb.go|rest-api/flow/internal/nicoapi/gen/health.pb.go,11,yes,high,high-signal-path|ops/config-path|proto-change|non-doc-markdown-only-hint|strong-keywords:7|weak-keywords:1|negative-keywords:2
2470,https://github.com/NVIDIA/infra-controller/pull/2470,feat: support attaching HostInband segments to VPCs,closed,True,kensimon,2026-06-11T14:48:35Z,2026-06-15T12:00:29Z,,15,581,30,crates/admin-cli/src/network_segment/attach_vpc/args.rs|crates/admin-cli/src/network_segment/attach_vpc/cmd.rs|crates/admin-cli/src/network_segment/attach_vpc/mod.rs|crates/admin-cli/src/network_segment/mod.rs|crates/admin-cli/src/network_segment/tests.rs|crates/api-core/src/api.rs|crates/api-core/src/auth/internal_rbac_rules.rs|crates/api-core/src/handlers/network_segment.rs,11,yes,high,high-signal-path|proto-change|strong-keywords:6|weak-keywords:1|negative-keywords:1
2481,https://github.com/NVIDIA/infra-controller/pull/2481,feat: add a separate site-wide credential for the SuperNIC Lockdown,closed,True,spydaNVIDIA,2026-06-11T19:02:06Z,2026-06-11T21:03:37Z,,10,467,10,crates/admin-cli/src/credential/add_nic_lockdown_ikm/args.rs|crates/admin-cli/src/credential/add_nic_lockdown_ikm/cmd.rs|crates/admin-cli/src/credential/add_nic_lockdown_ikm/mod.rs|crates/admin-cli/src/credential/mod.rs|crates/admin-cli/src/credential/tests.rs|crates/api-core/src/dpa/lockdown.rs|crates/api-core/src/handlers/credential.rs|crates/api-core/src/setup.rs,11,yes,high,high-signal-path|proto-change|strong-keywords:6|weak-keywords:1|negative-keywords:1
